dataset,metafolds,experiments,cutoff,seed,stage,component,value
cifar10,3,2000,30,1585129,preprocessing,pre_scaling,False
cifar10,3,2000,30,1585129,preprocessing,f_eng1,none
cifar10,3,2000,30,1585129,preprocessing,f_eng2,none
cifar10,3,2000,30,1585129,prediction,scaling,True
cifar10,3,2000,30,1585129,prediction,algorithm,LogisticRegression
cifar10,3,2000,30,1585130,preprocessing,pre_scaling,False
cifar10,3,2000,30,1585130,preprocessing,f_eng1,Extraction
cifar10,3,2000,30,1585130,preprocessing,f_eng2,none
cifar10,3,2000,30,1585130,prediction,scaling,True
cifar10,3,2000,30,1585130,prediction,algorithm,LogisticRegression
cifar10,3,2000,30,1585131,preprocessing,pre_scaling,True
cifar10,3,2000,30,1585131,preprocessing,f_eng1,Extraction
cifar10,3,2000,30,1585131,preprocessing,f_eng2,Selection
cifar10,3,2000,30,1585131,prediction,scaling,False
cifar10,3,2000,30,1585131,prediction,algorithm,MLP
cifar10,3,2000,30,1585132,preprocessing,pre_scaling,False
cifar10,3,2000,30,1585132,preprocessing,f_eng1,Selection
cifar10,3,2000,30,1585132,preprocessing,f_eng2,none
cifar10,3,2000,30,1585132,prediction,scaling,True
cifar10,3,2000,30,1585132,prediction,algorithm,SVM
cifar10,3,5000,15,1540441,preprocessing,pre_scaling,False
cifar10,3,5000,15,1540441,preprocessing,f_eng1,None
cifar10,3,5000,15,1540441,preprocessing,f_eng2,None
cifar10,3,5000,15,1540441,prediction,scaling,False
cifar10,3,5000,15,1540441,prediction,algorithm,LogisticRegression
cifar10,3,5000,15,1540442,preprocessing,pre_scaling,False
cifar10,3,5000,15,1540442,preprocessing,f_eng1,None
cifar10,3,5000,15,1540442,preprocessing,f_eng2,None
cifar10,3,5000,15,1540442,prediction,scaling,True
cifar10,3,5000,15,1540442,prediction,algorithm,RandomForest
cifar10,3,5000,15,1540443,preprocessing,pre_scaling,False
cifar10,3,5000,15,1540443,preprocessing,f_eng1,None
cifar10,3,5000,15,1540443,preprocessing,f_eng2,None
cifar10,3,5000,15,1540443,prediction,scaling,True
cifar10,3,5000,15,1540443,prediction,algorithm,RandomForest
cifar10,3,5000,15,1540444,preprocessing,pre_scaling,False
cifar10,3,5000,15,1540444,preprocessing,f_eng1,Selection
cifar10,3,5000,15,1540444,preprocessing,f_eng2,Extraction
cifar10,3,5000,15,1540444,prediction,scaling,True
cifar10,3,5000,15,1540444,prediction,algorithm,KNeighbors
cifar10,3,5000,15,1540445,preprocessing,pre_scaling,False
cifar10,3,5000,15,1540445,preprocessing,f_eng1,None
cifar10,3,5000,15,1540445,preprocessing,f_eng2,Selection
cifar10,3,5000,15,1540445,prediction,scaling,False
cifar10,3,5000,15,1540445,prediction,algorithm,RandomForest
cifar10,3,5000,15,1585123,preprocessing,pre_scaling,False
cifar10,3,5000,15,1585123,preprocessing,f_eng1,Selection
cifar10,3,5000,15,1585123,preprocessing,f_eng2,Extraction
cifar10,3,5000,15,1585123,prediction,scaling,False
cifar10,3,5000,15,1585123,prediction,algorithm,KNeighbors
cifar10,3,5000,15,1585124,preprocessing,pre_scaling,False
cifar10,3,5000,15,1585124,preprocessing,f_eng1,Selection
cifar10,3,5000,15,1585124,preprocessing,f_eng2,none
cifar10,3,5000,15,1585124,prediction,scaling,True
cifar10,3,5000,15,1585124,prediction,algorithm,LogisticRegression
cifar10,3,5000,15,1585125,preprocessing,pre_scaling,False
cifar10,3,5000,15,1585125,preprocessing,f_eng1,none
cifar10,3,5000,15,1585125,preprocessing,f_eng2,Selection
cifar10,3,5000,15,1585125,prediction,scaling,True
cifar10,3,5000,15,1585125,prediction,algorithm,SVM
cifar10,3,5000,15,1585126,preprocessing,pre_scaling,False
cifar10,3,5000,15,1585126,preprocessing,f_eng1,Selection
cifar10,3,5000,15,1585126,preprocessing,f_eng2,Extraction
cifar10,3,5000,15,1585126,prediction,scaling,False
cifar10,3,5000,15,1585126,prediction,algorithm,KNeighbors
cifar10,3,5000,15,1585333,preprocessing,pre_scaling,False
cifar10,3,5000,15,1585333,preprocessing,f_eng1,none
cifar10,3,5000,15,1585333,preprocessing,f_eng2,Selection
cifar10,3,5000,15,1585333,prediction,scaling,True
cifar10,3,5000,15,1585333,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1545510,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1545510,preprocessing,f_eng1,Selection
fashion-mnist,1,2000,10,1545510,preprocessing,f_eng2,None
fashion-mnist,1,2000,10,1545510,prediction,scaling,True
fashion-mnist,1,2000,10,1545510,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1545511,preprocessing,pre_scaling,True
fashion-mnist,1,2000,10,1545511,preprocessing,f_eng1,Selection
fashion-mnist,1,2000,10,1545511,preprocessing,f_eng2,Extraction
fashion-mnist,1,2000,10,1545511,prediction,scaling,False
fashion-mnist,1,2000,10,1545511,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1545512,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1545512,preprocessing,f_eng1,None
fashion-mnist,1,2000,10,1545512,preprocessing,f_eng2,None
fashion-mnist,1,2000,10,1545512,prediction,scaling,True
fashion-mnist,1,2000,10,1545512,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1545513,preprocessing,pre_scaling,True
fashion-mnist,1,2000,10,1545513,preprocessing,f_eng1,Selection
fashion-mnist,1,2000,10,1545513,preprocessing,f_eng2,None
fashion-mnist,1,2000,10,1545513,prediction,scaling,False
fashion-mnist,1,2000,10,1545513,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1545514,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1545514,preprocessing,f_eng1,None
fashion-mnist,1,2000,10,1545514,preprocessing,f_eng2,None
fashion-mnist,1,2000,10,1545514,prediction,scaling,True
fashion-mnist,1,2000,10,1545514,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1585349,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1585349,preprocessing,f_eng1,none
fashion-mnist,1,2000,10,1585349,preprocessing,f_eng2,Extraction
fashion-mnist,1,2000,10,1585349,prediction,scaling,False
fashion-mnist,1,2000,10,1585349,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1585350,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1585350,preprocessing,f_eng1,none
fashion-mnist,1,2000,10,1585350,preprocessing,f_eng2,none
fashion-mnist,1,2000,10,1585350,prediction,scaling,True
fashion-mnist,1,2000,10,1585350,prediction,algorithm,MLP
fashion-mnist,1,2000,10,1585351,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1585351,preprocessing,f_eng1,none
fashion-mnist,1,2000,10,1585351,preprocessing,f_eng2,none
fashion-mnist,1,2000,10,1585351,prediction,scaling,True
fashion-mnist,1,2000,10,1585351,prediction,algorithm,LogisticRegression
fashion-mnist,1,2000,10,1585352,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1585352,preprocessing,f_eng1,none
fashion-mnist,1,2000,10,1585352,preprocessing,f_eng2,Selection
fashion-mnist,1,2000,10,1585352,prediction,scaling,True
fashion-mnist,1,2000,10,1585352,prediction,algorithm,SVM
fashion-mnist,1,2000,10,1585353,preprocessing,pre_scaling,False
fashion-mnist,1,2000,10,1585353,preprocessing,f_eng1,none
fashion-mnist,1,2000,10,1585353,preprocessing,f_eng2,none
fashion-mnist,1,2000,10,1585353,prediction,scaling,True
fashion-mnist,1,2000,10,1585353,prediction,algorithm,LogisticRegression
fashion-mnist,1,2000,20,1545520,preprocessing,pre_scaling,True
fashion-mnist,1,2000,20,1545520,preprocessing,f_eng1,None
fashion-mnist,1,2000,20,1545520,preprocessing,f_eng2,Selection
fashion-mnist,1,2000,20,1545520,prediction,scaling,False
fashion-mnist,1,2000,20,1545520,prediction,algorithm,MLP
